row_id|character_name|male|female
1428|Lincoln Town|1.0|0.0
1429|Lincoln Tunnel|1.0|0.0
1430|Linda|0.0|1.0
1432|Lindsay|1.0|1.0
1433|Lindsey|1.0|1.0
1434|Linus|1.0|0.0
1435|Lisa|0.0|1.0
1436|Lisa Perez|0.0|1.0
1441|Liz Donnelly|0.0|1.0
1442|Lizette|0.0|1.0
1443|Lizzie|0.0|1.0
1444|Lizzie Harmon|1.0|0.0
1445|Lloyd Andrews|1.0|0.0
1446|Lloyd David Andrews|1.0|0.0
1450|Lockwood|1.0|0.0
1451|Logan|1.0|0.0
1452|Lois Creen|0.0|1.0
1455|Lonnie|1.0|1.0
1457|Lookout Hill|1.0|0.0
1458|Lorinda|0.0|1.0
1459|Lorna Scarry|0.0|1.0
1460|Lorraine|0.0|1.0
1461|Lorraine Delmas|0.0|1.0
1462|Lorraine Hansen|0.0|1.0
1464|Louise|0.0|1.0
1465|Louise Billings|0.0|1.0
1467|Love|0.0|1.0
1469|Lucas|1.0|0.0
1471|Lucy|0.0|1.0
1472|Lucy Prichard|0.0|1.0
1474|Luke|1.0|0.0
1475|Luke Dixon|1.0|0.0
1476|Luke Thomas Breslin|1.0|0.0
1482|Lynn|1.0|1.0
1483|Lynn Rivers|1.0|1.0
1495|Madeline|0.0|1.0
1496|Maggie|0.0|1.0
1498|Malcolm|1.0|0.0
1499|Malcolm Field|1.0|0.0
1509|Manny|1.0|0.0
1510|Manny Lopez|1.0|0.0
1511|Manuel Rojas|1.0|0.0
1512|Marc|1.0|0.0
1514|Marcus Cole|1.0|0.0
1515|Marcus Tate|1.0|1.0
1516|Marcus Woll|1.0|0.0
1517|Marcy Cochran|0.0|1.0
1518|Margaret Peterson|0.0|1.0
1519|Marge|0.0|1.0
1520|Marie|0.0|1.0
1521|Marilyn|0.0|1.0
1522|Marilyn Dunlap|0.0|1.0
1524|Mario Molinari|1.0|0.0
1525|Marion Springer|1.0|1.0
1526|Mark|1.0|0.0
1527|Mark Foster|1.0|0.0
1528|Mark Krieger|1.0|0.0
1529|Mark Whitlock|1.0|0.0
1530|Marnie|0.0|1.0
1531|Marnie Foster|1.0|0.0
1534|Marta|0.0|1.0
1535|Marta Stevens|0.0|1.0
